Año,Trimestre,Provincia,Banda ancha fija,Dial up
2019,4,Buenos Aires,3681120,5134.0
2019,4,Capital Federal,1356695,1410.0
2019,4,Catamarca,38310,1.0
2019,4,Chaco,117900,3.0
2019,4,Chubut,95292,810.0
2019,4,Córdoba,806633,55.0
2019,4,Corrientes,113831,3.0
2019,4,Entre Ríos,239017,13.0
2019,4,Formosa,46711,0.0
2019,4,Jujuy,88881,0.0
2019,4,La Pampa,90280,119.0
2019,4,La Rioja,48999,3.0
2019,4,Mendoza,185157,623.0
2019,4,Misiones,135813,0.0
2019,4,Neuquén,116069,376.0
2019,4,Río Negro,126636,504.0
2019,4,Salta,172443,2.0
2019,4,San Juan,64715,259.0
2019,4,San Luis,108053,148.0
2019,4,Santa Cruz,39170,200.0
2019,4,Santa Fe,769019,150.0
2019,4,Santiago Del Estero,103587,1.0
2019,4,Tierra Del Fuego,40101,291.0
2019,4,Tucumán,198621,23.0
2019,3,Buenos Aires,3950114,10119.0
2019,3,Capital Federal,1437734,3477.0
2019,3,Catamarca,32391,9.0
2019,3,Chaco,114438,13.0
2019,3,Chubut,87481,1524.0
2019,3,Córdoba,782946,107.0
2019,3,Corrientes,112749,10.0
2019,3,Entre Ríos,238057,45.0
2019,3,Formosa,46066,0.0
2019,3,Jujuy,86575,1.0
2019,3,La Pampa,90559,269.0
2019,3,La Rioja,49659,18.0
2019,3,Mendoza,223015,1322.0
2019,3,Misiones,133883,0.0
2019,3,Neuquén,123435,1986.0
2019,3,Río Negro,143391,904.0
2019,3,Salta,151834,1.0
2019,3,San Juan,72535,563.0
2019,3,San Luis,122409,291.0
2019,3,Santa Cruz,37642,328.0
2019,3,Santa Fe,760706,228.0
2019,3,Santiago Del Estero,133130,2.0
2019,3,Tierra Del Fuego,48043,544.0
2019,3,Tucumán,164099,32.0
2019,2,Buenos Aires,3845594,10104.0
2019,2,Capital Federal,1412177,3443.0
2019,2,Catamarca,33626,9.0
2019,2,Chaco,108721,13.0
2019,2,Chubut,86038,1518.0
2019,2,Córdoba,775023,105.0
2019,2,Corrientes,111539,10.0
2019,2,Entre Ríos,235780,44.0
2019,2,Formosa,46438,0.0
2019,2,Jujuy,86706,1.0
2019,2,La Pampa,89937,268.0
2019,2,La Rioja,50283,18.0
2019,2,Mendoza,222535,1322.0
2019,2,Misiones,132878,0.0
2019,2,Neuquén,120954,1999.0
2019,2,Río Negro,137632,915.0
2019,2,Salta,142567,1.0
2019,2,San Juan,69461,564.0
2019,2,San Luis,117094,291.0
2019,2,Santa Cruz,30225,325.0
2019,2,Santa Fe,743258,226.0
2019,2,Santiago Del Estero,126752,2.0
2019,2,Tierra Del Fuego,46910,544.0
2019,2,Tucumán,166299,32.0
2019,1,Buenos Aires,3736563,10104.0
2019,1,Capital Federal,1396157,3443.0
2019,1,Catamarca,33613,9.0
2019,1,Chaco,103664,13.0
2019,1,Chubut,78260,1518.0
2019,1,Córdoba,744010,105.0
2019,1,Corrientes,102477,10.0
2019,1,Entre Ríos,232403,44.0
2019,1,Formosa,45211,0.0
2019,1,Jujuy,90146,1.0
2019,1,La Pampa,88892,268.0
2019,1,La Rioja,51638,18.0
2019,1,Mendoza,204976,1322.0
2019,1,Misiones,122720,0.0
2019,1,Neuquén,112321,2056.0
2019,1,Río Negro,120173,915.0
2019,1,Salta,136019,1.0
2019,1,San Juan,61881,564.0
2019,1,San Luis,96044,291.0
2019,1,Santa Cruz,24580,325.0
2019,1,Santa Fe,736851,227.0
2019,1,Santiago Del Estero,89851,2.0
2019,1,Tierra Del Fuego,45903,544.0
2019,1,Tucumán,171970,32.0
2018,4,Buenos Aires,3626502,10104.0
2018,4,Capital Federal,1385577,3443.0
2018,4,Catamarca,33574,9.0
2018,4,Chaco,103257,13.0
2018,4,Chubut,77204,1518.0
2018,4,Córdoba,737234,105.0
2018,4,Corrientes,100591,10.0
2018,4,Entre Ríos,222003,44.0
2018,4,Formosa,45204,0.0
2018,4,Jujuy,90132,1.0
2018,4,La Pampa,85368,268.0
2018,4,La Rioja,51633,18.0
2018,4,Mendoza,204982,1322.0
2018,4,Misiones,116273,0.0
2018,4,Neuquén,112309,2056.0
2018,4,Río Negro,115922,915.0
2018,4,Salta,134577,1.0
2018,4,San Juan,61834,564.0
2018,4,San Luis,96040,291.0
2018,4,Santa Cruz,24443,325.0
2018,4,Santa Fe,720161,229.0
2018,4,Santiago Del Estero,89333,2.0
2018,4,Tierra Del Fuego,45716,544.0
2018,4,Tucumán,171972,32.0
2018,3,Buenos Aires,3599714,10563.0
2018,3,Capital Federal,1385804,6686.0
2018,3,Catamarca,34215,11.0
2018,3,Chaco,102021,12.0
2018,3,Chubut,101310,2426.0
2018,3,Córdoba,725764,94.0
2018,3,Corrientes,99445,11.0
2018,3,Entre Ríos,204560,48.0
2018,3,Formosa,44865,0.0
2018,3,Jujuy,44934,1.0
2018,3,La Pampa,83180,244.0
2018,3,La Rioja,51855,17.0
2018,3,Mendoza,205545,1484.0
2018,3,Misiones,108042,0.0
2018,3,Neuquén,114713,2005.0
2018,3,Río Negro,112433,1059.0
2018,3,Salta,132882,1.0
2018,3,San Juan,63823,658.0
